match_id,inning,batting_team,bowling_team
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore
1.0,2.0,Royal Challengers Bangalore,Sunrisers Hyderabad
2.0,1.0,Mumbai Indians,Rising Pune Supergiant
2.0,2.0,Rising Pune Supergiant,Mumbai Indians
3.0,1.0,Gujarat Lions,Kolkata Knight Riders
3.0,2.0,Kolkata Knight Riders,Gujarat Lions
4.0,1.0,Rising Pune Supergiant,Kings XI Punjab
4.0,2.0,Kings XI Punjab,Rising Pune Supergiant
5.0,1.0,Royal Challengers Bangalore,Delhi Daredevils
5.0,2.0,Delhi Daredevils,Royal Challengers Bangalore
6.0,1.0,Gujarat Lions,Sunrisers Hyderabad
6.0,2.0,Sunrisers Hyderabad,Gujarat Lions
7.0,1.0,Kolkata Knight Riders,Mumbai Indians
7.0,2.0,Mumbai Indians,Kolkata Knight Riders
8.0,1.0,Royal Challengers Bangalore,Kings XI Punjab
8.0,2.0,Kings XI Punjab,Royal Challengers Bangalore
9.0,1.0,Delhi Daredevils,Rising Pune Supergiant
9.0,2.0,Rising Pune Supergiant,Delhi Daredevils
10.0,1.0,Sunrisers Hyderabad,Mumbai Indians
10.0,2.0,Mumbai Indians,Sunrisers Hyderabad
11.0,1.0,Kings XI Punjab,Kolkata Knight Riders
11.0,2.0,Kolkata Knight Riders,Kings XI Punjab
12.0,1.0,Royal Challengers Bangalore,Mumbai Indians
12.0,2.0,Mumbai Indians,Royal Challengers Bangalore
13.0,1.0,Rising Pune Supergiant,Gujarat Lions
13.0,2.0,Gujarat Lions,Rising Pune Supergiant
14.0,1.0,Kolkata Knight Riders,Sunrisers Hyderabad
14.0,2.0,Sunrisers Hyderabad,Kolkata Knight Riders
15.0,1.0,Delhi Daredevils,Kings XI Punjab
15.0,2.0,Kings XI Punjab,Delhi Daredevils
16.0,1.0,Gujarat Lions,Mumbai Indians
16.0,2.0,Mumbai Indians,Gujarat Lions
17.0,1.0,Rising Pune Supergiant,Royal Challengers Bangalore
17.0,2.0,Royal Challengers Bangalore,Rising Pune Supergiant
18.0,1.0,Delhi Daredevils,Kolkata Knight Riders
18.0,2.0,Kolkata Knight Riders,Delhi Daredevils
19.0,1.0,Sunrisers Hyderabad,Kings XI Punjab
19.0,2.0,Kings XI Punjab,Sunrisers Hyderabad
20.0,1.0,Royal Challengers Bangalore,Gujarat Lions
20.0,2.0,Gujarat Lions,Royal Challengers Bangalore
21.0,1.0,Sunrisers Hyderabad,Delhi Daredevils
21.0,2.0,Delhi Daredevils,Sunrisers Hyderabad
22.0,1.0,Kings XI Punjab,Mumbai Indians
22.0,2.0,Mumbai Indians,Kings XI Punjab
23.0,1.0,Kolkata Knight Riders,Gujarat Lions
23.0,2.0,Gujarat Lions,Kolkata Knight Riders
24.0,1.0,Mumbai Indians,Delhi Daredevils
24.0,2.0,Delhi Daredevils,Mumbai Indians
25.0,1.0,Sunrisers Hyderabad,Rising Pune Supergiant
25.0,2.0,Rising Pune Supergiant,Sunrisers Hyderabad
26.0,1.0,Kings XI Punjab,Gujarat Lions
26.0,2.0,Gujarat Lions,Kings XI Punjab
27.0,1.0,Kolkata Knight Riders,Royal Challengers Bangalore
27.0,2.0,Royal Challengers Bangalore,Kolkata Knight Riders
28.0,1.0,Rising Pune Supergiant,Mumbai Indians
28.0,2.0,Mumbai Indians,Rising Pune Supergiant
29.0,1.0,Rising Pune Supergiant,Kolkata Knight Riders
29.0,2.0,Kolkata Knight Riders,Rising Pune Supergiant
30.0,1.0,Royal Challengers Bangalore,Gujarat Lions
30.0,2.0,Gujarat Lions,Royal Challengers Bangalore
31.0,1.0,Delhi Daredevils,Kolkata Knight Riders
31.0,2.0,Kolkata Knight Riders,Delhi Daredevils
32.0,1.0,Sunrisers Hyderabad,Kings XI Punjab
32.0,2.0,Kings XI Punjab,Sunrisers Hyderabad
33.0,1.0,Rising Pune Supergiant,Royal Challengers Bangalore
33.0,2.0,Royal Challengers Bangalore,Rising Pune Supergiant
34.0,1.0,Gujarat Lions,Mumbai Indians
34.0,2.0,Mumbai Indians,Gujarat Lions
34.0,3.0,Mumbai Indians,Gujarat Lions
34.0,4.0,Gujarat Lions,Mumbai Indians
35.0,1.0,Delhi Daredevils,Kings XI Punjab
35.0,2.0,Kings XI Punjab,Delhi Daredevils
36.0,1.0,Sunrisers Hyderabad,Kolkata Knight Riders
36.0,2.0,Kolkata Knight Riders,Sunrisers Hyderabad
37.0,1.0,Royal Challengers Bangalore,Mumbai Indians
37.0,2.0,Mumbai Indians,Royal Challengers Bangalore
38.0,1.0,Gujarat Lions,Rising Pune Supergiant
38.0,2.0,Rising Pune Supergiant,Gujarat Lions
39.0,1.0,Sunrisers Hyderabad,Delhi Daredevils
39.0,2.0,Delhi Daredevils,Sunrisers Hyderabad
40.0,1.0,Kolkata Knight Riders,Rising Pune Supergiant
40.0,2.0,Rising Pune Supergiant,Kolkata Knight Riders
41.0,1.0,Gujarat Lions,Delhi Daredevils
41.0,2.0,Delhi Daredevils,Gujarat Lions
42.0,1.0,Kings XI Punjab,Royal Challengers Bangalore
42.0,2.0,Royal Challengers Bangalore,Kings XI Punjab
43.0,1.0,Rising Pune Supergiant,Sunrisers Hyderabad
43.0,2.0,Sunrisers Hyderabad,Rising Pune Supergiant
44.0,1.0,Mumbai Indians,Delhi Daredevils
44.0,2.0,Delhi Daredevils,Mumbai Indians
45.0,1.0,Royal Challengers Bangalore,Kolkata Knight Riders
45.0,2.0,Kolkata Knight Riders,Royal Challengers Bangalore
46.0,1.0,Kings XI Punjab,Gujarat Lions
46.0,2.0,Gujarat Lions,Kings XI Punjab
